HCPCS_CD,HCPCS_CD_DESC
51596,REMOVAL OF BLADDER AND LYMPH NODES ON BOTH SIDES OF PELVIS WITH TRANSPLANTATION OF URETERS TO SMALL AND/OR LARGE BOWEL WITH CREATION OF URINARY OPENING
51597,REMOVAL OF BLADDER AND URETERS AND/OR REMOVAL OF RECTUM AND PARTIAL REMOVAL OF LARGE BOWEL WITH CREATION OF OPENING IN LARGE BOWEL THROUGH ABDOMINAL WALL TO SKIN
51600,INJECTION PROCEDURE FOR IMAGING OF BLADDER DURING VOIDING
51605,INJECTION PROCEDURE FOR IMAGING OF BLADDER AND URETHRA AND PLACEMENT OF X-RAY MARKER
51610,INJECTION PROCEDURE THROUGH BLADDER AND URETHRA FOR X-RAY IMAGING
51700,SIMPLE BLADDER IRRIGATION AND/OR INSTILLATION
51701,INSERTION OF TEMPORARY BLADDER TUBE
51702,SIMPLE INSERTION OF TEMPORARY BLADDER TUBE
51703,COMPLICATED INSERTION OF BLADDER TUBE
51705,SIMPLE CHANGE OF BLADDER TUBE
51710,COMPLICATED CHANGE OF BLADDER TUBE
51715,INJECTION OF IMPLANT MATERIAL BENEATH LINING OF BLADDER AND/OR URETHRA USING AN ENDOSCOPE
51720,INSTILLATION OF ANTI-CANCER DRUG INTO BLADDER
51721,INSERTION OF TRANSDUCER THROUGH URETHRA FOR DELIVERY OF HEAT ULTRASOUND FOR DESTRUCTION OF PROSTATE TISSUE
51725,SIMPLE MEASUREMENT OF PRESSURE OF URINE FLOW IN BLADDER
51726,COMPLEX MEASUREMENT OF PRESSURE OF URINE FLOW IN BLADDER
51727,COMPLEX MEASUREMENT OF PRESSURE OF URINE FLOW IN BLADDER WITH URETHRA PRESSURE STUDIES
51728,COMPLEX MEASUREMENT OF PRESSURE OF URINE FLOW IN BLADDER WITH VOIDING PRESSURE STUDIES
51729,COMPLEX MEASUREMENT OF PRESSURE OF URINE FLOW IN BLADDER WITH URETHRA PRESSURE AND VOIDING PRESSURE STUDIES
51736,SIMPLE TIMED ASSESSMENT OF BLADDER EMPTYING
51741,ELECTRONIC ASSESSMENT OF BLADDER EMPTYING
51784,NON-NEEDLE MEASUREMENT AND RECORDING OF ELECTRICAL ACTIVITY OF MUSCLES AT BLADDER AND BOWEL OPENINGS
51785,NEEDLE MEASUREMENT AND RECORDING OF ELECTRICAL ACTIVITY OF MUSCLES AT BLADDER AND BOWEL OPENINGS
51792,ASSESSMENT OF MUSCLE SIGNAL OF PELVIC NERVES
51797,INSERTION OF DEVICE INTO ABDOMEN WITH PRESSURE AND URINE FLOW RATE STUDY
51798,ULTRASOUND MEASUREMENT OF BLADDER CAPACITY AFTER VOIDING
51800,REPAIR OF BLADDER AND/OR URETHRA
51820,"REPAIR OF BLADDER, URETHRA, AND URETER"
51840,SIMPLE SUTURE OF BLADDER NECK TO VAGINAL WALL AND PUBIC BONE WITH URETHRA SUSPENSION
51841,RESUTURE OF BLADDER NECK TO VAGINAL WALL AND PUBIC BONE WITH URETHRA SUSPENSION
51845,REPAIR OF BLADDER NECK IN FEMALE
51860,"SUTURE OF SIMPLE WOUND, INJURY, OR RUPTURE OF BLADDER"
51865,"SUTURE OF COMPLICATED WOUND, INJURY, OR RUPTURE OF BLADDER"
51880,CLOSURE OF SURGICALLY CREATED OPENING FROM BLADDER TO SKIN
51900,REPAIR OF ABNORMAL DRAINAGE TRACT FROM BLADDER INTO VAGINA THROUGH ABDOMEN
51920,REPAIR OF ABNORMAL DRAINAGE TRACT FROM BLADDER INTO VAGINA
51925,REPAIR OF ABNORMAL DRAINAGE TRACT FROM BLADDER INTO VAGINA AND REMOVAL OF UTERUS
51940,REPAIR OF CONGENITAL DEFECT OF BLADDER WALL
51960,ENLARGEMENT OF BLADDER USING A PORTION OF BOWEL
51980,CREATION OF DRAINAGE TRACT FROM BLADDER TO SKIN
51990,SUTURE SUSPENSION OF URETHRA TO CONTROL LEAKAGE USING AN ENDOSCOPE
51992,CREATION OF SLING AROUND URETHRA TO CONTROL LEAKAGE USING AN ENDOSCOPE
51999,OTHER PROCEDURE ON BLADDER USING AN ENDOSCOPE
52000,DIAGNOSTIC EXAM OF BLADDER AND URETHRA USING AN ENDOSCOPE
52001,IRRIGATION AND REMOVAL OF MULTIPLE BLOOD CLOTS FROM BLADDER AND URETHRA USING AN ENDOSCOPE
52005,INSERTION OF TUBE INTO URETER USING AN ENDOSCOPE THROUGH BLADDER AREA
52007,INSERTION OF TUBE INTO URETER AND BIOPSY OF URETER AND/OR RENAL PELVIS USING AN ENDOSCOPE
5200F,CONSIDERATION OF REFERRAL FOR A NEUROLOGICAL EVALUATION OF APPROPRIATENESS FOR SURGICAL THERAPY FOR INTRACTABLE EPILEPSY WITHIN THE PAST 3 YEARS (EPI)
52010,INSERTION OF TUBE INTO SPERM DUCT USING AN ENDOSCOPE
52204,BIOPSY OF BLADDER USING AN ENDOSCOPE
52214,"DESTRUCTION OF TISSUE OF BLADDER, URETHRA, OR SURROUNDING GLANDS USING AN ENDOSCOPE"
52224,"DESTRUCTION OF GROWTH OF BLADDER AND URETHRA USING AN ENDOSCOPE, LESS THAN 0.5 CM"
52234,"DESTRUCTION AND/OR REMOVAL OF GROWTH OF BLADDER AND URETHRA USING AN ENDOSCOPE, 0.5-2.0 CM"
52235,"DESTRUCTION AND/OR REMOVAL OF GROWTH OF BLADDER AND URETHRA USING AN ENDOSCOPE, 2.0-5.0 CM"
52240,DESTRUCTION AND/OR REMOVAL OF LARGE GROWTH OF BLADDER USING AN ENDOSCOPE
52250,INSERTION OF RADIOACTIVE SUBSTANCE OF BLADDER AND URETHRA USING AN ENDOSCOPE
52260,DILATION OF BLADDER USING AN ENDOSCOPE UNDER GENERAL OR SPINAL ANESTHESIA
52265,DILATION OF BLADDER USING AN ENDOSCOPE
52270,INCISION OF URETHRA IN FEMALE USING AN ENDOSCOPE
52275,INCISION OF URETHRA IN MALE USING AN ENDOSCOPE
52276,INCISION OF URETHRA USING AN ENDOSCOPE
52277,REMOVAL OF MUSCLES AT URINARY OPENING USING AN ENDOSCOPE
52281,DILATION OF URETHRA USING AN ENDOSCOPE
52282,INSERTION OF A PERMANENT URETHRA STENT USING AN ENDOSCOPE
52283,STEROID INJECTION INTO URETHRA STRICTURE USING AN ENDOSCOPE
52284,DRUG DELIVERY USING A DRUG-COATED BALLOON FOR MALE TREATMENT OF URETHRAL STRICTURE USING AN ENDOSCOPE
52285,EXAM OF BLADDER AND URETHRA FOR TREATMENT OF FEMALE URETHRAL SYNDROME USING AN ENDOSCOPE
52287,EXAM WITH INJECTIONS OF CHEMICAL FOR DESTRUCTION OF BLADDER USING AN ENDOSCOPE
52290,INCISION OF URETER USING AN ENDOSCOPE
52300,REMOVAL OR DESTRUCTION OF ABNORMAL POUCHES OF URETER AT BLADDER USING AN ENDOSCOPE
52301,"REMOVAL OR DESTRUCTION OF ABNORMAL POUCHES OF URETER AT BLADDER, ECTOPIC URETEROCELE, USING AN ENDOSCOPE"
52305,REMOVAL OF BLADDER POUCHES USING AN ENDOSCOPE
52310,"SIMPLE REMOVAL OF FOREIGN BODY, STONE, OR STENT IN URETHRA OR BLADDER USING AN ENDOSCOPE"
52315,"COMPLICATED REMOVAL OF FOREIGN BODY, STONE, OR STENT IN URETHRA OR BLADDER USING AN ENDOSCOPE"
52317,"CRUSHING, FRAGMENTING, AND REMOVAL OF BLADDER STONES, LESS THAN 2.5 CM"
52318,"CRUSHING, FRAGMENTING, AND REMOVAL OF BLADDER STONES, MORE THAN 2.5 CM"
52320,REMOVAL OF STONE IN URETER USING AN ENDOSCOPE
52325,FRAGMENTING OF STONE IN URETER USING AN ENDOSCOPE
52327,INJECTION OF IMPLANT MATERIAL IN BLADDER USING AN ENDOSCOPE
52330,MANIPULATION OF STONE IN URETER USING AN ENDOSCOPE
52332,INSERTION OF STENT IN URETER USING AN ENDOSCOPE
52334,INSERTION OF GUIDE WIRE THROUGH KIDNEY INTO URETER USING AN ENDOSCOPE
52341,DILATION OF BLADDER AND URETHRA USING AN ENDOSCOPE
52342,REPAIR OF STRICTURE AT JUNCTION OF KIDNEY AND URETER USING AN ENDOSCOPE
52343,REPAIR OF STRICTURE IN KIDNEY USING AN ENDOSCOPE
52344,REPAIR OF STRICTURE OF URETER USING AN ENDOSCOPE
52345,REPAIR OF STRICTURE OF UPPER ATTACHMENT OF URETER TO KIDNEY USING AN ENDOSCOPE
52346,REPAIR OF STRICTURE IN KIDNEY WITH EXAM OF URINARY TRACT USING AN ENDOSCOPE
52351,"DIAGNOSTIC EXAM OF BLADDER, URETHRA, AND URETER OR KIDNEY USING AN ENDOSCOPE"
52352,REMOVAL OR MANIPULATION OF STONE IN URETER OR KIDNEY USING AN ENDOSCOPE
52353,CRUSHING OF STONE OF URETER USING AN ENDOSCOPE
52354,BIOPSY AND/OR DESTRUCTION OF GROWTH OF URETER OR KIDNEY USING AN ENDOSCOPE
52355,REMOVAL OF GROWTH OF URETER OR KIDNEY USING AN ENDOSCOPE
52356,CRUSHING OF STONE OF URETER WITH INSERTION OF STENT USING AN ENDOSCOPE
52400,"INCISION, DESTRUCTION, OR REMOVAL OF CONGENITAL DEFECTS OF BLADDER AND URETHRA USING AN ENDOSCOPE"
52402,INCISION OR REMOVAL OF EJACULATORY DUCT USING AN ENDOSCOPE
52441,"INSERTION OF IMPLANT IN URETHRA WITHIN PROSTATE GLAND USING AN ENDOSCOPE, 1 IMPLANT"
52442,"INSERTION OF IMPLANT IN URETHRA WITHIN PROSTATE GLAND USING AN ENDOSCOPE, EACH ADDITIONAL IMPLANT"
52450,INCISION OF PROSTATE
52500,REMOVAL OF BLADDER NECK THROUGH URETHRA
5250F,ASTHMA DISCHARGE PLAN PROVIDED TO PATIENT (ASTHMA)
52601,REMOVAL OF PROSTATE GLAND USING AN ELECTROCAUTERY KNIFE THROUGH URETHRA WITH CONTROL OF BLEEDING USING AN ENDOSCOPE
52630,COMPLETE REMOVAL OF REMAINING OR REGROWN PROSTATE TISSUE WITH CONTROL OF BLEEDING USING AN ENDOSCOPE
52640,REMOVAL OF POSTSURGICAL TIGHTENING OF BLADDER NECK
52647,COMPLETE LASER DESTRUCTION OF PROSTATE INCLUDING CONTROL OF BLEEDING USING AN ENDOSCOPE
52648,COMPLETE LASER VAPORIZATION OF PROSTATE INCLUDING CONTROL OF BLEEDING USING AN ENDOSCOPE
52649,COMPLETE LASER FRAGMENTATION OF PROSTATE INCLUDING CONTROL OF BLEEDING USING AN ENDOSCOPE
52700,DRAINAGE OF PROSTATE ABSCESS
53000,INCISION OR REPAIR OF URETHRA
53010,INCISION OR REPAIR OF ABNORMAL URETHRA
53020,INCISION OF EXTERNAL URINARY OPENING
53025,"INCISION OF EXTERNAL URINARY OPENING, INFANT"
53040,DRAINAGE OF ABSCESS AROUND URETHRA
53060,DRAINAGE OF ABSCESS OR CYST OF SKENE'S GLANDS
53080,UNCOMPLICATED DRAINAGE OF ABNORMAL URINE COLLECTION
53085,COMPLICATED DRAINAGE OF ABNORMAL URINE COLLECTION
53200,BIOPSY OF URETHRA
53210,REMOVAL OF BLADDER AND URETHRA IN FEMALE
53215,REMOVAL OF BLADDER AND URETHRA IN MALE
53220,REMOVAL OR DESTRUCTION OF CANCER URETHRA
53230,REMOVAL OF POUCH OF URETHRA IN FEMALE
53235,REMOVAL OF POUCH OF URETHRA IN MALE
53240,REPAIR OF POUCH OF URETHRA
53250,REMOVAL OF SEMINAL FLUID GLAND
53260,REMOVAL OR DESTRUCTION OF POLYPS OF URETHRA
53265,REMOVAL OR DESTRUCTION OF GROWTH OF URETHRA
53270,REMOVAL OR DESTRUCTION OF MUCOUS GLANDS OF URETHRA
53275,REMOVAL OR DESTRUCTION OF PROLAPSE OF URETHRA
53400,"REPAIR OF ABNORMAL DRAINAGE TRACT, POUCH, OR STRICTURE OF URETHRA, FIRST STAGE"
53405,SECOND STAGE REPAIR OF URETHRA WITH CREATION OF NEW URETHRA
53410,RECONSTRUCTION OF URETHRA IN MALE
53415,RECONSTRUCTION OR REPAIR OF URETHRA
53420,"RECONSTRUCTION OR REPAIR OF URETHRA, STAGE 1 OF 2"
53425,"RECONSTRUCTION OR REPAIR OF URETHRA, STAGE 2 OF 2"
53430,RECONSTRUCTION OF URETHRA IN FEMALE
53431,REPAIR OF URETHRA AND/OR LOWER BLADDER FOR INCONTINENCE
53440,CREATION OF SLING AROUND URETHRA IN MALE TO CONTROL LEAKAGE
53442,REMOVAL OR REVISION OF SLING IN MALE FOR URINARY INCONTINENCE
53444,INSERTION OF ARTIFICIAL URINARY SPHINCTER
53445,INSERTION OF INFLATABLE URETHRA OR BLADDER NECK SPHINCTER
53446,REMOVAL OF INFLATABLE URETHRA OR BLADDER NECK SPHINCTER
53447,REMOVAL AND REPLACEMENT OF INFLATABLE URETHRA OR BLADDER NECK SPHINCTER
53448,REMOVAL AND REPLACEMENT OF INFLATABLE URETHRA OR BLADDER NECK SPHINCTER THROUGH AN INFECTED FIELD
53449,REPAIR OF INFLATABLE URETHRA OR BLADDER NECK SPHINCTER
53450,REPAIR OF URETHRA AND URINARY OPENING
53451,INSERTION OF ADJUSTABLE BALLOON CONTINENCE DEVICE ON BOTH SIDES OF URETHRA USING IMAGING GUIDANCE
53452,INSERTION OF ADJUSTABLE BALLOON CONTINENCE DEVICE ON ONE SIDE OF URETHRA USING IMAGING GUIDANCE
53453,REMOVAL OF ADJUSTABLE BALLOON CONTINENCE DEVICE FROM BESIDE URETHRA
53454,ADJUSTMENT OF FLUID VOLUME IN ADJUSTABLE BALLOON CONTINENCE DEVICE BESIDE URETHRA
53460,REPAIR AND PARTIAL REMOVAL OF URETHRA AND URINARY OPENING
53500,RELEASE OF SCAR TISSUE OF URETHRA USING AN ENDOSCOPE
53502,SUTURE OF WOUND OR INJURY OF URETHRA IN FEMALE
53505,SUTURE OF WOUND OR INJURY OF URETHRA IN PENIS
53510,SUTURE OF URETHRA WOUND OR INJURY
53515,SUTURE OF WOUND OR INJURY OF URETHRA NEAR PROSTATE GLAND
53520,CLOSURE OF ABNORMAL DRAINAGE TRACT FROM URETHRA TO SKIN IN MALE
53600,INITIAL DILATION OF URETHRA IN MALE USING DILATOR
53601,SUBSEQUENT DILATION OF STRICTURE OF URETHRA IN MALE BY PASSAGE OF DILATOR
53605,DILATION OF NARROWING OF URETHRA IN MALE UNDER GENERAL OR SPINAL ANESTHESIA
53620,INITIAL DILATION OF URETHRA IN MALE USING FILIFORM DILATOR
53621,SUBSEQUENT DILATION OF URETHRAL STRICTURE IN MALE BY PASSAGE OF FILIFORM URETHRAL DILATOR
53660,INITIAL DILATION OF URETHRA IN FEMALE
53661,SUBSEQUENT DILATION OF URETHRA IN FEMALE
53665,DILATION OF URETHRA IN FEMALE UNDER GENERAL OR SPINAL ANESTHESIA
53850,DESTRUCTION OF PROSTATE TISSUE USING MICROWAVE INDUCED HEAT
53852,DESTRUCTION OF PROSTATE TISSUE USING RADIOFREQUENCY INDUCED HEAT
53854,DESTRUCTION OF PROSTATE TISSUE USING RADIOFREQUENCY INDUCED HEATED WATER VAPOR
53855,INSERTION OF A TEMPORARY URETHRA STENT USING AN ENDOSCOPE
53860,RECONSTRUCTION OF FEMALE BLADDER NECK FOR STRESS URINARY INCONTINENCE USING RADIOFREQUENCY
53865,INSERTION OF A TEMPORARY DEVICE FOR PRESSURE NECROSIS OF BLADDER NECK AND PROSTATE USING AN ENDOSCOPE
53866,REMOVAL OF TEMPORARY DEVICE FOR PRESSURE NECROSIS OF BLADDER NECK AND PROSTATE USING CATHETERIZATION
53899,OTHER PROCEDURE ON URINARY SYSTEM
54000,INCISION OF NEWBORN FORESKIN
54001,INCISION OF FORESKIN
54015,INCISION AND DRAINAGE OF PENIS
54050,SIMPLE DESTRUCTION OF GROWTHS OF PENIS USING CHEMICAL
54055,SIMPLE DESTRUCTION OF GROWTH OF PENIS USING ELECTRIC CURRENT
54056,SIMPLE DESTRUCTION OF GROWTH OF PENIS USING FREEZING
54057,SIMPLE DESTRUCTION OF GROWTH OF PENIS USING LASER
54060,REMOVAL OF GROWTH OF PENIS
54065,DESTRUCTION OF MULTIPLE GROWTHS OF PENIS
54100,BIOPSY OF PENIS
54105,BIOPSY OF DEEP STRUCTURE OF PENIS
54110,REMOVAL OF THICKENED TISSUE OF PENIS
54111,"REMOVAL OF ABNORMALLY THICKENED TISSUE IN PENIS WITH GRAFT, 5.0 CM OR LESS"
54112,"REMOVAL OF ABNORMALLY THICKENED TISSUE IN PENIS WITH GRAFT, MORE THAN 5.0 CM"
54115,REMOVAL OF FOREIGN BODY IN PENIS
54120,PARTIAL AMPUTATION OF PENIS
54125,AMPUTATION OF PENIS
54130,AMPUTATION OF PENIS AND REMOVAL OF LYMPH NODES ON BOTH SIDES OF GROIN
54135,AMPUTATION OF PENIS AND REMOVAL OF LYMPH NODES ON BOTH SIDES OF PELVIS
54150,REMOVAL OF FORESKIN USING CLAMP OR DEVICE
54160,REMOVAL OF FORESKIN (28 DAYS OR YOUNGER)
54161,REMOVAL OF FORESKIN (OLDER THAN 28 DAYS)
54162,REMOVAL OF SCAR TISSUE AFTER FORESKIN REMOVAL
54163,REPAIR OF INCOMPLETE REMOVAL OF FORESKIN
54164,INCISION OF MEMBRANE ATTACHING FORESKIN AND PENIS
54200,INJECTION PROCEDURE TO CORRECT THICKENED PENILE TISSUE
54205,INJECTION PROCEDURE AND SURGERY OF THICKENED PENILE TISSUE
54220,INJECTION OF DRUG INTO ERECTILE TISSUE AT SIDES AND BACK OF PENIS
54230,INJECTION PROCEDURE FOR IMAGING OF PENILE ERECTION
54231,ASSESSMENT OF ERECTILE DYSFUNCTION INCLUDING INJECTION OF DRUGS INTO PENIS
54235,INJECTION PROCEDURE TO CAUSE ERECTION
54240,ASSESSMENT OF PENILE BLOOD FLOW
54250,ASSESSMENT OF NIGHTTIME ERECTION
54300,REPAIR OF CURVED PENIS
54304,REPAIR OF CURVED PENIS AND URINARY OUTLET
54308,"REPAIR OF URINARY OUTLET AT UNDERSIDE OF PENIS, LESS THAN 3.0 CM"
54312,"REPAIR OF URINARY OUTLET AT UNDERSIDE OF PENIS, MORE THAN 3.0 CM"
54316,"REPAIR OF URINARY OUTLET OF PENIS WITH SKIN GRAFT, STAGE 2 OF 2"
54318,REPAIR OF URINARY OUTLET WITH RELEASE OF PENIS FROM SCROTUM
54322,SIMPLE REPAIR AND RELOCATION OF URINARY OUTLET AT UNDERSIDE OF PENIS
54324,REPAIR OF URINARY OUTLET OF PENIS WITH SKIN FLAP
54326,REPAIR OF URINARY OUTLET AT UNDERSIDE OF PENIS WITH SKIN FLAP
54328,"REPAIR OF URINARY OUTLET AT UNDERSIDE OF HEAD OF PENIS WITH LOCAL SKIN FLAPS, SKIN GRAFT PATCH, AND/OR ISLAND FLAP"
54332,REPAIR OF URINARY OUTLET AT UNDERSIDE OF BASE OF PENIS WITH SKIN GRAFT TUBE AND/OR ISLAND FLAP
54336,REPAIR OF URINARY OUTLET BETWEEN THIGHS IN MALE WITH SKIN GRAFT TUBE AND/OR ISLAND FLAP
54340,SIMPLE REPAIR OF URINARY OUTLET COMPLICATIONS AT UNDERSIDE OF PENIS
54344,REPAIR OF COMPLICATION OF URINARY OUTLET OF PENIS AT UNDERSIDE OF PENIS WITH MOBILIZATION OF SKIN GRAFT OR FLAP
54348,"EXTENSIVE REPAIR OF URINARY OUTLET AT UNDERSIDE OF PENIS WITH FLAP, PATCH OR GRAFT"
54352,EXTENSIVE REVISION OF PREVIOUS REPAIR OF URINARY OUTLET AT UNDERSIDE OF PENIS WITH SKIN GRAFTS AND FLAPS
54360,SURGERY TO CORRECT ABNORMAL PENIS ANGLE
54380,REPAIR OF URINARY OUTLET OF PENIS
54385,REPAIR OF URINARY OUTLET OF PENIS WITH INCONTINENCE
54390,REPAIR OF URINARY OUTLET OF PENIS WITH CREATION OF BLADDER OPENING
54400,INSERTION OF NON-INFLATABLE PENILE IMPLANT
54401,INSERTION OF INFLATABLE PENILE IMPLANT
54405,INSERTION OF MULTICOMPONENT INFLATABLE PENILE IMPLANT
54406,REMOVAL OF ALL COMPONENTS OF INFLATABLE PENILE IMPLANT
54408,REPAIR OF MULTICOMPONENT INFLATABLE PENILE IMPLANT
54410,REMOVAL AND REPLACEMENT OF MULTICOMPONENT INFLATABLE PENILE IMPLANT DURING SAME SURGERY
54411,REMOVAL AND REPLACEMENT OF INFECTED COMPONENTS OF INFLATABLE PENILE IMPLANT
54415,REMOVAL OF INFLATABLE OR NONINFLATABLE PENILE IMPLANT
54416,REMOVAL AND REPLACEMENT OF NONINFLATABLE PENILE IMPLANT
54417,REMOVAL AND REPLACEMENT OF INFECTED NONINFLATABLE PENILE IMPLANT
54420,CREATION OF BLOOD FLOW TRACT FROM PENIS TO GROIN
54430,CREATION OF BLOOD FLOW TRACT FROM PENIS TO OTHER PENILE ANATOMY
54435,REDIRECTION OF BLOOD FLOW FROM PENIS WITH PARTIAL REMOVAL OF TISSUE AT HEAD OF PENIS
54437,REPAIR OF PENIS
54438,REPLANTATION OF AMPUTATED PENIS
54440,REPAIR OF INJURY OF PENIS
54450,REPOSITIONING OF FORESKIN INCLUDING SCAR TISSUE REMOVAL
54500,NEEDLE BIOPSY OF TESTICLE
54505,INCISION OF TESTICLE FOR BIOPSY
54512,REMOVAL OF GROWTH OF TESTICLE
54520,SIMPLE REMOVAL OF TESTICLE
54522,PARTIAL REMOVAL OF TESTICLE
54530,REMOVAL OF GROWTH OF TESTICLE THROUGH GROIN
54535,REMOVAL OF GROWTH OF TESTICLE THROUGH ABDOMEN
54550,EXPLORATION OF SPERMATIC VEINS AND SCROTUM USING AN ENDOSCOPE
54560,EXPLORATION FOR LOCATION OF TESTICLE IN ABDOMEN
54600,REPAIR OF TWISTED TESTICLE
54620,SUTURE OF TESTICLE TO OTHER TESTICLE
54640,REPOSITIONING AND SUTURE OF MISPLACED TESTICLE
54650,REPAIR OF CONGENITAL MALPOSITIONED TESTICLE
54660,INSERTION OF TESTICULAR IMPLANT
54670,SUTURE OR REPAIR OF INJURY TO TESTICLE
54680,TRANSPLANTATION OF TESTICLES TO THIGH
54690,REMOVAL OF TESTICLES USING AN ENDOSCOPE
54692,REMOVAL OF CONGENITAL MALPOSITIONED TESTICLE USING AN ENDOSCOPE
54699,OTHER PROCEDURE ON TESTICLE USING AN ENDOSCOPE
54700,"INCISION AND DRAINAGE OF SPERM RESERVOIR, TESTIS, AND/OR SCROTAL AREA"
54800,NEEDLE BIOPSY OF SPERM RESERVOIR
54830,REMOVAL OF GROWTH OF SPERM DUCT
54840,REMOVAL OF FLUID ACCUMULATION IN SPERM RESERVOIR
54860,REMOVAL OF SPERM RESERVOIR
54861,REMOVAL OF BOTH SPERM RESERVOIRS
54865,SEARCH OF SPERM RESERVOIR
54900,CONNECTION OF SPERM RESERVOIR TO SPERM DUCT
54901,CONNECTION OF BOTH SPERM RESERVOIRS TO SPERM DUCTS
55000,ASPIRATION OF FLUID COLLECTION IN TESTICLE AND SPERM RESERVOIR
55040,REMOVAL OF FLUID COLLECTION IN TESTICLE AND SPERM RESERVOIR
55041,REMOVAL OF FLUID COLLECTION IN BOTH TESTICLES AND SPERM RESERVOIRS
55060,REPAIR OF FLUID COLLECTION IN TESTICLE AND SPERM RESERVOIR
55100,DRAINAGE OF ABSCESS OF SCROTUM
55110,SEARCH OF SCROTUM
55120,REMOVAL OF FOREIGN BODY IN SCROTUM
55150,REMOVAL OF DISEASED OR INJURED SCROTUM
55175,SIMPLE REPAIR OF SCROTUM
55180,COMPLICATED REPAIR OF SCROTUM
55200,INCISION OF SPERM DUCT
55250,REMOVAL OF SPERM DUCT
55300,INCISION OF SPERM DUCT FOR X-RAY PROCEDURE
55400,INCISION OR REPAIR OF SPERM DUCT
55450,"TYING OF SPERM DUCTS, ACCESSED THROUGH THE SKIN"
55500,REMOVAL OF FLUID COLLECTION IN SPERM CORD
55520,REMOVAL OF GROWTH OF SPERM CORD
55530,REMOVAL OF SPERMATIC CORD VENOUS DILATION OR TYING OF SPERMATIC VEINS
55535,REMOVAL OF SPERMATIC CORD VENOUS DILATION OR SUTURING OF SPERMATIC VEINS
55540,REMOVAL OF SPERMATIC CORD VENOUS DILATION OR SUTURING SPERMATIC VEINS WITH HERNIA REPAIR
55550,TYING OF SPERM VEINS USING AN ENDOSCOPE
55559,OTHER PROCEDURE ON SPERM CORD USING AN ENDOSCOPE
55600,INCISION OR PUNCTURE OF FLUID-PRODUCING GLAND FOR SPERM MOVEMENT
55605,COMPLICATED INCISION OF FLUID-PRODUCING GLANDS FOR SPERM MOVEMENT
55650,REMOVAL OF FLUID-PRODUCING GLANDS FOR SPERM MOVEMENT
55680,REMOVAL OF CONGENITAL REMNANT OF FLUID-PRODUCING GLANDS FOR SPERM MOVEMENT
55700,BIOPSY OF PROSTATE GLAND
55705,INCISIONAL BIOPSY OF PROSTATE GLAND
55706,NEEDLE BIOPSY OF PROSTATE GLAND USING IMAGE GUIDANCE
55720,SIMPLE INCISION AND DRAINAGE OF ABSCESS OF PROSTATE
55725,COMPLICATED INCISION AND DRAINAGE OF ABSCESS OF PROSTATE
55801,PARTIAL REMOVAL OF PROSTATE GLAND THROUGH INCISION BETWEEN SCROTUM AND ANUS
55810,"REMOVAL OF PROSTATE GLAND, GLANDS FOR SPERM MOVEMENT, AND SPERM DUCT"
55812,REMOVAL OF PROSTATE GLAND WITH LYMPH NODE BIOPSY THROUGH INCISION BETWEEN SCROTUM AND ANUS
55815,REMOVAL OF PROSTATE GLAND THROUGH INCISION BETWEEN SCROTUM AND ANUS AND REMOVAL OF SURROUNDING LYMPH NODES ON BOTH SIDES OF PELVIS
55821,PARTIAL REMOVAL OF PROSTATE (SUPRAPUBIC)
55831,PARTIAL REMOVAL OF PROSTATE (RETROPUBIC)
55840,REMOVAL OF PROSTATE
55842,REMOVAL OF PROSTATE GLAND AND LYMPH NODE BIOPSY THROUGH ABDOMINAL INCISION
55845,REMOVAL OF PROSTATE GLAND AND SURROUNDING LYMPH NODES ON BOTH SIDES OF PELVIS THROUGH ABDOMINAL INCISION
55860,SURGICAL OPENING OF PROSTATE FOR RADIATION THERAPY
55862,EXPOSURE OF PROSTATE GLAND FOR RADIATION THERAPY WITH BIOPSY OF LYMPH NODES
55865,EXPOSURE OF PROSTATE GLAND FOR RADIATION THERAPY WITH REMOVAL OF SURROUNDING LYMPH NODES ON BOTH SIDES OF PELVIS
55866,SURGICAL REMOVAL OF PROSTATE AND SURROUNDING LYMPH NODES USING AN ENDOSCOPE
55867,SIMPLE SURGICAL SUBTOTAL REMOVAL OF PROSTATE USING LAPAROSCOPE
55870,INSERTION OF DEVICE TO ENHANCE SEMEN DISCHARGE
55873,DESTRUCTION OF PROSTATE USING IMAGING GUIDANCE
55874,INJECTION OF BIODEGRADABLE MATERIAL NEXT TO PROSTATE
55875,INSERTION OF NEEDLE OR TUBE INTO PROSTATE FOR RADIATION THERAPY
55876,PLACEMENT OF DEVICE IN PROSTATE FOR RADIATION THERAPY
55880,"HIGH-INTENSITY ULTRASOUND DESTRUCTION OF CANCEROUS TISSUE IN PROSTATE GLAND, ACCESSED THROUGH RECTUM USING ULTRASOUND GUIDANCE"
55881,DESTRUCTION OF PROSTATE TISSUE THROUGH URETHRA USING HEAT ULTRASOUND WITH MRI GUIDANCE
55882,INSERTION OF ULTRASOUND TRANSDUCER THROUGH URETHRA FOR DELIVERY OF HEAT ULTRASOUND FOR DESTRUCTION OF PROSTATE TISSUE USING MRI GUIDANCE
55899,OTHER PROCEDURE ON MALE GENITAL SYSTEM
55920,INSERTION OF NEEDLES OR TUBES INTO PELVIC OR GENITAL ORGANS FOR RADIATION THERAPY
55970,OPERATION TO CHANGE SEX MALE TO FEMALE
